method,bias,rmse,mae,variance_ratio,kl_divergence,ks_statistic,ks_pvalue,acf_rmse,acf_correlation
linear_interpolation,-0.011158473452984291,0.5833951247702476,0.16584491976152174,0.9919000898511032,0.0175012801450564,0.009,0.9999999999993714,0.011894679050276686,0.9999593666420632
forward_fill,0.017838016186966732,0.8037502650749546,0.19773183620421964,1.0913636219591714,0.01684375103703344,0.008,0.9999999999999962,0.009221388688864478,0.9991294633060259
regression,-0.06861126349265484,1.1164336096015834,0.2978694735034926,0.8790061744316334,0.02428413485793245,0.039,0.43260886958153144,0.034939575010084975,0.9983318211392938
knn,-0.059980482113135336,1.1846906019066272,0.3043555227112976,0.8610640965257909,0.02138522140158282,0.028,0.8282194040312439,0.04148887827407721,0.9959918138658344
mean,-0.07322246309876272,1.5943839629890595,0.32818548109714557,0.8064439744480658,0.047143514725015996,0.071,0.012912352230759101,0.08394919386039727,0.9652002317557394
