method,bias,rmse,mae,variance_ratio,kl_divergence,ks_statistic,ks_pvalue,acf_rmse,acf_correlation
linear_interpolation,-0.0018071310295064286,1.003089570165654,0.42320568648609264,0.945768905858234,0.03859675692409048,0.021,0.9802627322900355,0.029766419084937247,0.9993611180071843
forward_fill,0.02563454766039916,1.445422982888905,0.5300095305239823,1.2132821256464945,0.038275805901838995,0.016,0.9995502785541052,0.021746051523403757,0.9970184643804733
regression,-0.022277959723546695,1.5971780533275688,0.659119334805905,0.7652554754808918,0.06942380536495625,0.069,0.017090148468768534,0.05834302357519254,0.9971929221988847
knn,-0.04154495943190552,1.7379564462269337,0.7025497124686296,0.7282392567980831,0.055732917286529085,0.061,0.04839715079181246,0.08472147889960904,0.9869400444346673
mean,-0.02169435328736606,2.1799166802139713,0.7467274594512326,0.6374444273323455,0.17652180136292578,0.146,1.035413447317725e-09,0.14019156555202866,0.9243886030320382
