method,bias,rmse,mae,variance_ratio,kl_divergence,ks_statistic,ks_pvalue,acf_rmse,acf_correlation
linear_interpolation,-0.004019197092575949,0.7248081841532882,0.24496720742256098,0.9796956924908755,0.01941534872245492,0.015,0.9998734489003387,0.01824251269793344,0.9998377125125865
forward_fill,0.013843187822752151,0.95741925050156,0.29360256047017774,1.08830858384306,0.019250526195705463,0.013,0.9999962022688547,0.012588065968534188,0.9992524010780369
regression,-0.025843206739464733,1.3150053460039357,0.429426630072423,0.8481845856512067,0.032221682603990096,0.043,0.3136800387320582,0.043778614430145184,0.9981697660359088
knn,-0.032870770371839775,1.3526172607012943,0.4358451081564865,0.8288354261464217,0.02634536122972511,0.034,0.6101664688189142,0.05312320060325269,0.9959508667698111
mean,-0.04228828232483102,1.7508571856331239,0.46654046001902466,0.7662315854437196,0.07728756481529034,0.094,0.0002883096840614359,0.09787246144179328,0.960679889048595
