mechanism,target_rate,actual_rate,method,bias,rmse,variance_ratio
MCAR,0.6,0.613,linear_interpolation,-0.0041475671117264246,1.7110304199789177,0.8757842442626851
MCAR,0.6,0.613,regression,-0.11622758780518606,2.207398351318697,0.6516521661462412
MCAR,0.7,0.712,mean,0.05363326229376614,2.891060935316573,0.36246679193326453
MCAR,0.7,0.712,forward_fill,0.06491272159600228,3.0335555803943106,1.0729717540154764
MCAR,0.7,0.712,linear_interpolation,0.14808763888206308,2.161882638649867,0.8317120252930206
MCAR,0.7,0.712,regression,0.05827964533688007,2.3911714769181582,0.6455716311521628
MAR,0.1,0.042,mean,-0.07580318143534043,1.335586206335396,0.8643310666511549
MAR,0.1,0.042,forward_fill,0.014058391380052937,0.5290890140082335,1.0811917179635613
MAR,0.1,0.042,linear_interpolation,-0.013823793125340988,0.391068054047016,1.005926759050292
MAR,0.1,0.042,regression,-0.048905771807309775,0.6862905152124296,0.9266676539105517
MAR,0.2,0.075,mean,-0.09214109045506311,1.461673107389897,0.837628768017752
MAR,0.2,0.075,forward_fill,0.0034232646885912488,0.6469562720422549,1.0893869265247558
MAR,0.2,0.075,linear_interpolation,-0.02414675118015365,0.4887816696223436,1.0018523540162603
MAR,0.2,0.075,regression,-0.07205394153478081,0.8897095046516192,0.9046409161218258
MAR,0.3,0.124,mean,-0.07322246309876272,1.5943839629890595,0.8064439744480658
MAR,0.3,0.124,forward_fill,0.017838016186966732,0.8037502650749546,1.0913636219591714
MAR,0.3,0.124,linear_interpolation,-0.011158473452984291,0.5833951247702476,0.9919000898511032
MAR,0.3,0.124,regression,-0.06861126349265484,1.1164336096015834,0.8790061744316334
MAR,0.4,0.18,mean,-0.0412052309976028,1.7510568648396776,0.7661713304704575
MAR,0.4,0.18,forward_fill,0.013280413965406301,0.957584636283123,1.0884138183118728
MAR,0.4,0.18,linear_interpolation,-0.00396154805839731,0.7248104767639114,0.9796877960602778
MAR,0.4,0.18,regression,-0.02498987409462919,1.3151940893513143,0.8481223343071517
MAR,0.5,0.262,mean,-0.037286729758460285,2.128151751394932,0.6545305422928479
MAR,0.5,0.262,forward_fill,0.03174662100891809,1.4147751694276804,1.2159098147516532
MAR,0.5,0.262,linear_interpolation,-0.004584754243817324,0.9506900962011853,0.9539883756282418
MAR,0.5,0.262,regression,-0.041730040914111075,1.5349674982402002,0.7732143639535453
MAR,0.6,0.366,mean,0.06893190171970381,2.3114254979479965,0.5927030184634908
MAR,0.6,0.366,forward_fill,0.10007130224866834,1.6485147547102907,1.2012118599156467
MAR,0.6,0.366,linear_interpolation,0.08042630227680139,1.2122678187319165,0.9237962061515831
MAR,0.6,0.366,regression,0.06628226860002487,1.7660263219896006,0.7373574064899067
MAR,0.7,0.503,mean,0.01742553886938611,2.5913864421810096,0.4876313640354176
MAR,0.7,0.503,forward_fill,0.004895949941202737,2.0703517788506405,0.9457958060193282
MAR,0.7,0.503,linear_interpolation,0.04680660228011235,1.4520187173669385,0.8272604477930086
MAR,0.7,0.503,regression,-0.00035056540252902113,2.07748172735708,0.662999832061601
MNAR,0.1,0.075,mean,-0.09214109045506311,1.461673107389897,0.837628768017752
MNAR,0.1,0.075,forward_fill,0.0034232646885912488,0.6469562720422549,1.0893869265247558
MNAR,0.1,0.075,linear_interpolation,-0.02414675118015365,0.4887816696223436,1.0018523540162603
MNAR,0.1,0.075,regression,-0.07205394153478081,0.8897095046516192,0.9046409161218258
MNAR,0.2,0.124,mean,-0.07322246309876272,1.5943839629890595,0.8064439744480658
MNAR,0.2,0.124,forward_fill,0.017838016186966732,0.8037502650749546,1.0913636219591714
MNAR,0.2,0.124,linear_interpolation,-0.011158473452984291,0.5833951247702476,0.9919000898511032
MNAR,0.2,0.124,regression,-0.06861126349265484,1.1164336096015834,0.8790061744316334
MNAR,0.3,0.179,mean,-0.04228828232483102,1.7508571856331239,0.7662315854437196
MNAR,0.3,0.179,forward_fill,0.013843187822752151,0.95741925050156,1.08830858384306
MNAR,0.3,0.179,linear_interpolation,-0.004019197092575949,0.7248081841532882,0.9796956924908755
MNAR,0.3,0.179,regression,-0.025843206739464733,1.3150053460039357,0.8481845856512067
MNAR,0.4,0.261,mean,-0.04175313723421997,2.1256771126161476,0.6553606898504538
MNAR,0.4,0.261,forward_fill,0.032960574789571095,1.4142542544562344,1.2151730014246669
MNAR,0.4,0.261,linear_interpolation,-0.0056908765270072825,0.9500463949248213,0.9544575979906837
MNAR,0.4,0.261,regression,-0.04657478416966078,1.5311177068484476,0.7738734000950379
MNAR,0.5,0.366,mean,0.060318363056588636,2.3146063832397497,0.591495291501947
MNAR,0.5,0.366,forward_fill,0.09206185164309902,1.652441936491719,1.1988837971620225
MNAR,0.5,0.366,linear_interpolation,0.07414831644439837,1.2162306366780062,0.9219651180226304
MNAR,0.5,0.366,regression,0.05392859931708327,1.772009176577992,0.7365639149876279
MNAR,0.6,0.504,mean,0.015463415863847724,2.5915571021439536,0.4875589490686605
MNAR,0.6,0.504,forward_fill,0.0027913003036164896,2.0714212604603155,0.9458168528682082
MNAR,0.6,0.504,linear_interpolation,0.04292714970876685,1.4571919941576845,0.8278488913423623
MNAR,0.6,0.504,regression,-0.006375332325507757,2.079292863779077,0.6638832371365839
MNAR,0.7,0.638,mean,-0.12490706525927271,2.7994087583006846,0.40323277651859724
MNAR,0.7,0.638,forward_fill,-0.09333606767805222,2.674868770692081,1.1010411505052538
MNAR,0.7,0.638,linear_interpolation,-0.02738820908503735,1.8300001531544805,0.8680047609350023
MNAR,0.7,0.638,regression,-0.11948169325372081,2.272464906825206,0.6515119978849732
